fecha,sku_id,nombre_producto,categoria,plataforma,unidades_vendidas,precio_venta,pvp_base,coste_unitario,margen_bruto,descuento_pct,promocion_activa,stock_disponible,precio_decathlon,precio_ortoweb,precio_medicalexpo,precio_comp_min,precio_comp_avg,precio_comp_max,dia_semana,mes,semana_anio,es_festivo,es_blackfriday,es_navidad,ingreso_estimado,margen_estimado_eur,var_precio_comp_min_7d,alerta_bajada_competidor,ventas_lag_1,ventas_lag_7,ventas_lag_30,ventas_media_7d,ventas_media_30d,ratio_precio_mercado,diferencia_precio_min,diferencia_precio_avg
2023-01-31,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,179.47,189.9,80.0,99.47,0.055,1,159,168.4,171.64,197.35,168.4,179.13,197.35,1,1,5,0,0,0,2333.11,1293.11,-0.0302,0,9.0,10.0,3.0,,,1.0019,11.07,0.34
2023-02-01,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,179.47,189.9,80.0,99.47,0.055,1,157,152.08,190.07,179.54,152.08,173.9,190.07,2,2,5,0,0,0,897.35,497.35,-0.2888,1,13.0,3.0,8.0,3.0,3.0,1.032,27.39,5.57
2023-02-02,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,179.47,189.9,80.0,99.47,0.055,1,152,160.58,201.23,189.89,160.58,183.9,201.23,3,2,5,0,0,0,1435.76,795.76,-0.1533,1,5.0,7.0,8.0,2.5,2.5,0.9759,18.89,-4.43
2023-02-03,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,179.47,189.9,80.0,99.47,0.055,1,147,166.43,193.76,181.33,166.43,180.51,193.76,4,2,5,0,0,0,1794.7,994.7,-0.0189,0,8.0,8.0,16.0,3.33,3.33,0.9942,13.04,-1.04
2023-02-04,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,179.47,189.9,80.0,99.47,0.055,1,144,172.06,198.88,164.58,164.58,178.51,198.88,5,2,5,0,0,0,1615.23,895.23,-0.0593,1,10.0,8.0,4.0,3.75,3.75,1.0054,14.89,0.96
2023-02-05,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,179.47,189.9,80.0,99.47,0.055,1,140,176.44,172.49,189.36,172.49,179.43,189.36,6,2,5,0,0,0,717.88,397.88,-0.1562,1,9.0,7.0,14.0,3.6,3.6,1.0002,6.98,0.04
2023-02-06,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,179.47,189.9,80.0,99.47,0.055,1,140,186.55,171.77,183.62,171.77,180.65,186.55,0,2,6,0,0,0,717.88,397.88,-0.1722,1,4.0,9.0,5.0,3.67,3.67,0.9935,7.7,-1.18
2023-02-07,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,179.47,189.9,80.0,99.47,0.055,1,136,160.64,181.6,196.82,160.64,179.69,196.82,1,2,6,0,0,0,1076.82,596.82,-0.0953,1,4.0,13.0,5.0,3.14,3.14,0.9988,18.83,-0.22
2023-02-08,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,6,199.69,189.9,80.0,119.69,0.0,0,130,166.05,169.39,187.16,166.05,174.2,187.16,2,2,6,0,0,0,2196.59,1316.59,-0.1724,1,6.0,5.0,6.0,3.29,3.25,1.1463,33.64,25.49
2023-02-09,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,199.69,189.9,80.0,119.69,0.0,0,125,161.39,200.95,190.65,161.39,184.33,200.95,3,2,6,0,0,0,2196.59,1316.59,-0.2472,1,11.0,8.0,6.0,3.86,3.56,1.0833,38.3,15.36
2023-02-10,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,199.69,189.9,80.0,119.69,0.0,0,124,178.3,199.97,172.67,172.67,183.65,199.97,4,2,6,0,0,0,1397.83,837.83,-0.1271,1,11.0,10.0,8.0,3.86,3.7,1.0873,27.02,16.04
2023-02-11,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,199.69,189.9,80.0,119.69,0.0,0,122,167.87,175.49,180.1,167.87,174.49,180.1,5,2,6,0,0,0,998.45,598.45,-0.1888,1,7.0,9.0,9.0,3.29,3.45,1.1444,31.82,25.2
2023-02-12,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,199.69,189.9,80.0,119.69,0.0,0,118,153.41,190.8,189.0,153.41,177.74,190.8,6,2,6,0,0,0,1597.52,957.52,-0.1796,1,5.0,4.0,13.0,3.14,3.33,1.1235,46.28,21.95
2023-02-13,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,199.69,189.9,80.0,119.69,0.0,0,114,167.26,198.76,165.01,165.01,177.01,198.76,0,2,7,0,0,0,1397.83,837.83,-0.0483,0,8.0,4.0,8.0,3.14,3.38,1.1281,34.68,22.68
2023-02-14,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,199.69,189.9,80.0,119.69,0.0,0,111,175.86,178.17,166.86,166.86,173.63,178.17,1,2,7,0,0,0,399.38,239.38,-0.1255,1,7.0,6.0,8.0,3.71,3.43,1.1501,32.83,26.06
2023-02-15,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,199.69,189.9,80.0,119.69,0.0,0,106,185.54,190.03,197.9,185.54,191.16,197.9,2,2,7,0,0,0,998.45,598.45,0.0806,0,2.0,11.0,7.0,3.57,3.4,1.0446,14.15,8.53
2023-02-16,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,199.69,189.9,80.0,119.69,0.0,0,105,174.73,204.66,167.24,167.24,182.21,204.66,3,2,7,0,0,0,2595.97,1555.97,-0.1357,1,5.0,11.0,4.0,3.43,3.5,1.0959,32.45,17.48
2023-02-17,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,199.69,189.9,80.0,119.69,0.0,0,100,180.94,171.86,197.73,171.86,183.51,197.73,4,2,7,0,0,0,998.45,598.45,-0.1898,1,13.0,7.0,10.0,2.86,3.35,1.0882,27.83,16.18
2023-02-18,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,199.69,189.9,80.0,119.69,0.0,0,97,176.97,188.69,172.05,172.05,179.24,188.69,5,2,7,0,0,0,798.76,478.76,-0.1035,1,5.0,5.0,9.0,3.43,3.44,1.1141,27.64,20.45
2023-02-19,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,199.69,189.9,80.0,119.69,0.0,0,97,154.88,173.6,165.29,154.88,164.59,173.6,6,2,7,0,0,0,1397.83,837.83,-0.0781,1,4.0,8.0,10.0,3.57,3.42,1.2133,44.81,35.1
2023-02-20,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,7,199.69,189.9,80.0,119.69,0.0,0,90,164.02,183.0,173.21,164.02,173.41,183.0,0,2,8,0,0,0,998.45,598.45,-0.1039,1,7.0,7.0,2.0,3.0,3.25,1.1515,35.67,26.28
